Why would he waste my time like that,0
Who does she think she is,0
Why do I even try to work things out with him,0
What is the matter with them,0
Who cares what they say,0
When the hell is she going to get here,0
Where on earth is he,0
Why are they so late,0
What is he thinking,0
Why is he so annoying,0
Why is their face so punchable,0
Why do they always look so smug,0
Do they not deserve to be punished,0
Everything they say is so stupid,0
Do they not realize how awful they are,0
When will they understand how much we hate them,0
When will they learn that their actions have consequences,0
Why can they not mind their own business,0
Why are they trying to force their views on me,0
Why would they think that is ok to do,0
Why are they so infuriating,0
Why do they think it is fun to annoy me,0
What is wrong with them,0
Why even bother,0
Why are they so socially inept,0
Can they even be reasoned with,0
Do they have any redeeming qualities at all,0
How could anyone ever love them,0
How could anyone ever tolerate them,0
Why has someone not told them to stop,0
Why can they not tell how much they bother me,0
When will they realize how stupid they are,0
Who thought it was a good use of space for them to exist,0
Why do they not think before they act,0
Why can they not just get hit with a truck,0
Why should I not shoot them in the face,0
Why is she so stubborn,0
Why will they not shut up,0
Why do they think I care,0
I have never heard anything stupider than what you just said.,0
Will it be ok,1
Why is he not home yet,1
Am I going to die,1
How can I speak in front of the whole class,1
Why can I not find anyone to help me,1
Is he dangerous,1
Why do I have so much work to do,1
When is the next time I will have a chance to relax,1
Is he going to hurt me,1
Am I stupid,1
How can I stop being worried all the time,1
Why am I so paranoid,1
Who can I trust,1
Will I live to see another day,1
How do you know he willnot come back to hurt me,1
When will she return my call,1
What if I have a disease,1
How can I reduce the likelihood of getting in a car crash,1
Is it safe to be here this late,1
What if it malfunctions,1
Is something burning,1
What are those noises,1
What is going on,1
What if I cannot help him,1
What if she embarrasses me in front of everyone,1
Why can I not sleep properly,1
What if I make a mistake,1
What if something bad happens to my family,1
When will I stop feeling so insecure,1
Does everybody have imposter syndrome as severely as I do,1
Did I leave the oven on,1
Does my boss hate me,1
Did I say too much,1
Did I offend her with my questions,1
Why am I so socially awkward,1
Will we be able to find parking,1
Did I do something to annoy them,1
Why am I so stressed out all the time,1
Am I going to oversleep,1
Is my phone going to die and leave me lost with no connection,1
Do you think you can stop me,2
What exciting things does today have in store for me,2
Am I good or what,2
Is there anyone better than me at this,2
I am ready for anything,2
I know exactly what I am going to do,2
I am going to ace this test,2
I know that I am going to win this match,2
I am up for the challenge,2
I can figure out solutions on the fly,2
I am capable,2
I will be able to complete all my work quickly and efficiently,2
I am very sure about that,2
I know I can win,2
I would bet on myself if I could,2
Do you want to bet,2
I am sure he willnot do that,2
I am on the right track,2
I am on my way to success,2
I believe in the fact that my efforts will pay off soon,2
I am optimistic that things are going to play out in our favor,2
I am happy with the paper I turned in,2
Looking back on it and I am proud of a lot of my past accomplishments,2
I think I am likely to make a lot of progress on my central life goals in the next few years,2
Everything is going to be fine,2
I am motivated to do my best work on this project,2
There is no way you can beat me,2
No one can stand in the way of my goals,2
I have set my mind on success and nothing is going to stop me,2
I am determined to be the best,2
I have come a long way and I am only going to continue to improve,2
I will continue learning and growing for a long time to come,2
Our relationship is off to a great start,2
I believe in myself,2
I will never give up,2
I can do it,2
I will continue to try my hardest and no matter what,2
I am good at complex problem solving,2
I am a skilled communicator,2
One of my greatest strengths is my tendency to ask for help when I need it,2
I cannot wait for our vacation,3
I just received my first job offer,3
The sunny weather today is so lovely,3
That might be the best episode of television I have ever seen,3
I recently discovered a new band and have been listening to a lot of their music,3
"We are meeting for lunch on Saturday, and I always have such wonderful conversations with him",3
That is one of my favorite books,3
I slept for ten hours last night and feel really well rested,3
Volunteering last week was a really rewarding experience,3
I got outside and played tennis today with a friend,3
I am almost worried that he is going to faint when he sees the gift that he has wanted for so long,3
It’s almost Christmas,3
I feel much calmer now that I have performed meditation,3
The kindness that they showed to me was extremely touching,3
We took that chance to escape our daily routines for once and just enjoy the evening,3
We reveled in each others company throughout the meal,3
I have rarely been this hyped for a movie before,3
We are getting married,3
I love my parents so much,3
I had a very productive day today,3
I went to an amusement park with my friends the other day,3
I already want to revisit this museum as soon as possible,3
We are currently doing some sightseeing in Paris,3
My study group for physics is quickly turning into a friend group as well,3
I was at the concert when the music took my attention away from all concerns,3
I found 5 dollars that I didnot know I had in my pocket,3
We went to the beach last week and the water was just the right temperature,3
I sat on the balcony and reading in the warm sunlight,3
I visited my uncle and got to meet his two incredibly cute little children,3
I went through an old diary of mine recently and it was full of lovely memories,3
I am so glad that it is a Friday night,3
Her praise lifted my spirits considerably,3
The smell wafting from the kitchen is heavenly,3
The snow overnight meant I woke up to a winter wonderland,3
I havenot had a meal this delicious in a long time,3
I am starting to get summer vibes,3
The person ahead of me at the drive-thru paid for my meal,3
The poem words etched themselves into my brain and I revisited them endlessly for days afterward,3
The only complaint I have about the experience is that it ended,3
I am finally done paying off all my loans,3
I am already out of vacation days and it is only January,4
This food is extremely bitter,4
Why can they not just leave me alone,4
Moving is hard and I do not know anyone who lives near me anymore,4
My father passed away last night,4
My favorite football team was eliminated from the playoffs,4
Some kids in school made fun of my clothes today,4
Why am I so tired all the time,4
I have been incredibly unproductive lately,4
All my work keeps piling up and there is no end in sight,4
I wish I could go back to those days,4
My former best friend and I had a falling out,4
We are going through a really messy breakup,4
How can the world be so cruel,4
I wish I would never been born,4
Why can’t I just be happy,4
Why do the worst things always happen to me,4
I cannot remember the last time I laughed,4
My favorite TV show just got canceled,4
That was a really unsatisfying end to the series,4
Why am I so useless,4
Who cares what I think,4
I havenot been outside in a month,4
The winter was long and harsh,4
I was seriously contemplating suicide,4
"I waited and waited, but my friends never showed up",4
My mother was diagnosed with cancer when I was 14 years old,4
I know now that I will never get to see my childhood dream play out,4
Seeing the two of them together was torture for me,4
I have never been able to garner the respect or affection of my colleagues,4
I regret the things I said to him deeply,4
I wish that I knew what I know now when I was younger,4
I have had to make too many sacrifices in my life,4
We spent so long together and I do not know what to do now that I am alone,4
Why did my friends abandon me when I needed them,4
I do not have any work to do and I have been having aimless boring days,4
I do not have enough time to have fun regularly,4
I feel so burned out with my classes and extracurriculars,4
I cannot mend the broken relationship I have with my sister,4
The only person I have to blame is myself,4
